ticker,n_predictions,n_folds,mean_y_up_true,mean_y_up_pred,up_xgb_rmse,up_xgb_mae,up_naive_rmse,up_naive_mae,up_improve_pct,mean_y_dn_true,mean_y_dn_pred,dn_xgb_rmse,dn_xgb_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct
PYPL,1662,28,0.026101951827091848,0.024069752544164658,0.04275484857210926,0.030536419585363638,0.047763519037732426,0.03449580549887974,10.48639331131861,-0.02569730121187728,-0.027680255472660065,0.04832428196397114,0.03501717825672125,0.049722085883254434,0.03413852499021579,2.8112334678904727,6.648813389604541
CAT,1662,28,0.023408332697630152,0.020058445632457733,0.03506952344224191,0.026609892821511133,0.04017280658287215,0.02910477073559935,12.703327386655749,-0.017061793539339183,-0.021682478487491608,0.03451225239223513,0.0257897518342287,0.03469416144224931,0.024985094407990353,0.524321794942284,6.613824590799016
DE,1662,28,0.022619700132496354,0.019876493141055107,0.033435149588675425,0.023948900476076677,0.03884687731902368,0.027963259418947166,13.930920845722849,-0.016799714794233474,-0.022396186366677284,0.036094826573207534,0.02579468220906168,0.0357855821197271,0.024473800522543564,-0.8641593489964849,6.533380748363182
TXN,1662,28,0.021380495213879785,0.021771680563688278,0.03120108962625264,0.023155753982200888,0.03609001131959585,0.026452604481501444,13.546467608583601,-0.017283495655046378,-0.023059003055095673,0.03334817868377851,0.0244263681514955,0.03311019802609766,0.023912625859556662,-0.7187533505335075,6.413857129025047
MS,1662,28,0.024100700607980443,0.019545888528227806,0.03442224731288238,0.02456734298634851,0.04102472708724201,0.029533960368891454,16.09390297787717,-0.0166139944257323,-0.022382868453860283,0.03760659912688451,0.026789575167027745,0.036370925078575284,0.02473258680060135,-3.3974226546058084,6.348240161635681
AXP,1662,28,0.02296563381616008,0.01914915442466736,0.03760370394131544,0.024774378397081125,0.04251741907637407,0.028548121371951046,11.556945933693951,-0.01782678140635381,-0.021564025431871414,0.03899463463610758,0.026941536449618726,0.03935081564198395,0.025794151113563916,0.9051426255479167,6.231044279620934
RCL,1662,28,0.03902691034808169,0.03274315223097801,0.07616227066377673,0.044843988709836496,0.08274870432254287,0.049494383851060406,7.959561074325883,-0.029550302039197705,-0.034950558096170425,0.06338511183632872,0.043055182951316114,0.06605211530593548,0.04233867021181011,4.037726055030822,5.9986435646783525
UPS,1662,28,0.0185120530202586,0.019189544022083282,0.031672033108348686,0.02210924866657391,0.035385233143246715,0.02381302989916698,10.493642983405616,-0.016884354367568556,-0.020201560109853745,0.03456964196052101,0.02411460096584734,0.035046370645526244,0.02328586166476822,1.3602797557187074,5.926961369562162
QCOM,1662,28,0.027141599476527653,0.0267373938113451,0.0462886207807593,0.03101740034527867,0.05112915565926778,0.033962197077749695,9.46726934191231,-0.0217769956855967,-0.026283668354153633,0.041853236149196144,0.03056663230906566,0.042822691350985355,0.030713480899258593,2.263882000884332,5.865575671398321
TJX,1662,28,0.01943638750458089,0.018867891281843185,0.02934011485955565,0.019516502306496087,0.0348217353437718,0.023697420259440792,15.741950911118485,-0.013829631942328618,-0.02034940756857395,0.03287886066978736,0.021746779780538406,0.031555184522002594,0.020043188589570864,-4.194797678529816,5.773576616294335
NKE,1662,28,0.02102436024120151,0.0214900691062212,0.03684303887955541,0.025398369810895178,0.04066943192370444,0.02771981887760954,9.40852346137343,-0.02058845809549975,-0.02218453399837017,0.03989716877109586,0.02807889476120405,0.04070075752262438,0.027794594564290776,1.9743827890226107,5.691453125198021
JPM,1662,28,0.020508271917766524,0.01691375859081745,0.030849351123882505,0.021553015760462375,0.03586856628008022,0.02522764706627017,13.993353168914258,-0.014191205488939434,-0.020075824111700058,0.032508306547327226,0.02315650794088809,0.03162357585218935,0.021153231440171918,-2.797693402141377,5.59782988338644
ADBE,1662,28,0.022492750740782816,0.022327570244669914,0.03472069489807988,0.025568818782910497,0.03967529770275483,0.02909760546699194,12.48787807918813,-0.02097084663093111,-0.025181245058774948,0.04215345983722999,0.03073149232649779,0.04159582848553759,0.02858128584056425,-1.3405944105339351,5.5736418343270975
