ticker,n_predictions,n_folds,up_mdn_rmse,up_mdn_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_mdn_rmse,dn_mdn_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct,mean_up_std,mean_dn_std
CAT,1547,27,0.03331870061166431,0.024475645273923874,0.040118910305295984,0.028865947646526623,16.950135589136373,0.03129900130344512,0.022705014795064926,0.03368649681835855,0.024361280384002423,7.087396257874712,12.018765923505542,46058.94140625,10378.2080078125
HD,1547,27,0.02711071718951267,0.01934204436838627,0.0316779935750367,0.02262433143054214,14.417820922607916,0.027889433025218915,0.01901553012430668,0.03073904084662829,0.020024534749408237,9.270321203668729,11.844071063138323,47740.6953125,10481.2578125
SCHW,1547,27,0.034723727289667744,0.024379096925258636,0.0412378891056716,0.02927279998675129,15.796545257957783,0.036992794989076094,0.024410590529441833,0.04014169693163114,0.02633408316088509,7.844466435781761,11.820505846869771,49349.63671875,10100.4521484375
AMT,1547,27,0.030334224162628626,0.022207578644156456,0.03457201379910957,0.02407041132308178,12.25786169444978,0.028848397309025234,0.020760970190167427,0.03251232135538604,0.02277153273895489,11.269340033617237,11.763600864033508,50571.87890625,10337.578125
NFLX,1547,27,0.04387567884223659,0.030390679836273193,0.05120002476314022,0.034768403124704285,14.305356207906673,0.03815378662287617,0.02657853625714779,0.04194489171103426,0.029250518635104836,9.038299858480215,11.671828033193444,44989.16015625,10600.634765625
AVGO,1547,27,0.04745552087022979,0.03072492592036724,0.05610697360245306,0.03698977010388317,15.4195676165378,0.03983695641970962,0.02729438804090023,0.043262351555663735,0.02921710453974117,7.91772756861543,11.668647592576615,58425.1640625,10764.7470703125
DE,1547,27,0.031932533462374055,0.022504013031721115,0.03818012528149133,0.027190541873930905,16.363465999798432,0.03166367308023988,0.022233745083212852,0.034020961350873055,0.02359267964475846,6.92892903972181,11.646197519760122,46196.13671875,10557.876953125
AAPL,1547,27,0.030713763019925712,0.022275874391198158,0.03616955742348296,0.026728830301640163,15.08394017565472,0.029784737060286132,0.02163473330438137,0.03238771575389929,0.02209626186769671,8.036932006542552,11.560436091098635,40587.8984375,8509.39453125
NKE,1547,27,0.035286648305214996,0.024110401049256325,0.04000564901982488,0.026902867246028972,11.795835913751517,0.03539036082543897,0.024056831374764442,0.03985585438106496,0.026884226440267008,11.204109471424339,11.499972692587928,48194.08984375,10578.890625
WFC,1547,27,0.03455164864876147,0.02421337552368641,0.04172613184756426,0.02956622156564192,17.194220698465234,0.03721545767295251,0.025081157684326172,0.0394935527862535,0.026646649236368607,5.768270901406291,11.481245799935763,49352.25390625,10047.41015625
TTD,1547,27,0.0692555908980677,0.04506031051278114,0.08102239523015795,0.05396502617134113,14.522903573344914,0.06577925037960161,0.04355372115969658,0.07180730002633136,0.04791576394833622,8.394758812153214,11.458831192749063,53934.421875,10666.3212890625
GOOGL,1547,27,0.032256488199136145,0.02309807576239109,0.037554818527281104,0.02767025836739398,14.10825703843056,0.028975497286183555,0.02190311811864376,0.03177250337671813,0.022726720216353385,8.803228557004827,11.455742797717694,42874.69921875,10453.30859375
GE,1547,27,0.038457113278496685,0.026959681883454323,0.04684174128992431,0.03387226678291757,17.899906750971205,0.03824070972192193,0.026276417076587677,0.04025678713505683,0.027468927469415913,5.008043504244874,11.45397512760804,51487.0234375,10740.76171875
RCL,1547,27,0.06910294688807389,0.03955981135368347,0.08274113838357144,0.048299086787362965,16.482963326264155,0.058939002045593096,0.0369279719889164,0.06295097243837941,0.04023284030851315,6.373166668256792,11.428064997260474,52963.40625,10148.9345703125
QCOM,1547,27,0.0448932323155049,0.028702696785330772,0.0509910340450716,0.033323464565722265,11.9585763335899,0.03761999748356897,0.026680629700422287,0.0421005639828871,0.029840880153113383,10.642533200123816,11.300554766856859,58124.0859375,11007.7734375
GOOG,1547,27,0.032359117931945534,0.023172767832875252,0.03747531117509545,0.02760618429349443,13.65217014275235,0.028904914462643854,0.02186765894293785,0.031737677039017656,0.022679685880855407,8.92555108205072,11.288860612401535,42461.06640625,10528.0869140625
DIS,1547,27,0.033743893470483885,0.023556537926197052,0.03829747388935661,0.02535487446798032,11.890028130910812,0.030881641335877417,0.021042507141828537,0.03455032815229011,0.023756404599918932,10.618384868131914,11.254206499521363,48959.5703125,10081.2890625
ISRG,1547,27,0.03694619358483875,0.02471223473548889,0.04283292616990759,0.02873174257206845,13.743475198770295,0.032594052121800283,0.023055443540215492,0.03566072180027401,0.024571806344658186,8.599572649284305,11.1715239240273,50633.9453125,10406.7548828125
CRM,1547,27,0.03848270685494757,0.026078786700963974,0.04437215765254694,0.030567488208699065,13.27285196207113,0.03746947042909621,0.026004286482930183,0.041188712817980075,0.027971336984979632,9.029761151604399,11.151306556837763,47346.453125,10481.7841796875
INTC,1547,27,0.05145311411933656,0.03438704088330269,0.058539111933545766,0.03844492632710813,12.104723799454465,0.04622667963900544,0.030976949259638786,0.05140296498121867,0.03453118552529971,10.070013167731695,11.08736848359308,58515.46875,10749.052734375
REGN,1547,27,0.033304844046289,0.02345854789018631,0.038030541812357536,0.026811486251977087,12.426059532322997,0.032073529981730804,0.022398285567760468,0.03543762509690101,0.024721651750650414,9.493003851052062,10.95953169168753,42217.23046875,10513.416015625
ACN,1547,27,0.02767329373753379,0.019931161776185036,0.03158671336304657,0.02303763989953549,12.389448628394195,0.029455038145776907,0.020947817713022232,0.03253206202077556,0.021948796323467256,9.458434798979576,10.923941713686887,46510.96484375,10639.5009765625
MA,1547,27,0.027785902948051815,0.0187770314514637,0.03249407700743131,0.022361732172921044,14.489330034832948,0.029397865911021653,0.02027278207242489,0.031708501899433854,0.020920535966512128,7.287118122895164,10.888224078864056,45359.5078125,10108.4873046875
JPM,1547,27,0.029466652671087914,0.02005426399409771,0.03595849925600572,0.02518618371554031,18.053719480057417,0.03003152009441114,0.02073163166642189,0.031161669104144325,0.020626918562976826,3.6267280996924556,10.840223789874937,46819.171875,9916.6181640625
ADBE,1547,27,0.03466300525862777,0.025025317445397377,0.038988689978704624,0.028341202344689898,11.094716756165745,0.0368438352282746,0.025514254346489906,0.04111137438654664,0.027969135203973813,10.380434178986143,10.737575467575944,45799.51953125,10572.0849609375
VRTX,1547,27,0.029671087088576995,0.021021956577897072,0.03452847925353702,0.025094604735591563,14.067784825659368,0.031346863888147315,0.0200535599142313,0.03384321832438933,0.02184061446693646,7.376232402942007,10.722008614300687,49234.94921875,10606.3544921875
CI,1547,27,0.03444782225733398,0.02306317165493965,0.03921517608804541,0.025995492142216515,12.15691042673842,0.034576619712451795,0.02317238785326481,0.03794033640747129,0.025054137114618184,8.865806193424019,10.51135831008122,49403.9765625,10384.5361328125
NEE,1547,27,0.028524529849930823,0.01962437853217125,0.03272114977258004,0.023466937932268964,12.82540482781549,0.030125260150953983,0.020296569913625717,0.03280349113346116,0.02118517353598297,8.1644693597117,10.494937093763596,42455.86328125,9189.1748046875
TMO,1547,27,0.029711742290918712,0.02100423350930214,0.03272143746394995,0.02359010245851253,9.197930794901943,0.027089471467230338,0.019864659756422043,0.03066689516964441,0.022083678342545317,11.665425151859454,10.431677973380697,44656.4453125,10335.7275390625
TGT,1547,27,0.037460718716130686,0.02426011860370636,0.041879743677393444,0.02744830755310408,10.551700113790652,0.03232409788379949,0.022434372454881668,0.03586513424086623,0.02482129932524493,9.87319978585759,10.212449949824121,47609.3515625,10503.873046875
CHTR,1547,27,0.03707568622104848,0.024688035249710083,0.04117915416950785,0.027976513712154,9.964915577352684,0.03782231075275309,0.024937521666288376,0.04217154386659769,0.02710161018232068,10.313193957524158,10.13905476743842,42837.9609375,10133.6953125
MSFT,1547,27,0.027926572004030193,0.01997855305671692,0.03181015280762277,0.023578437823308974,12.208620395755975,0.026011867659967904,0.01961629092693329,0.028294985276044547,0.01988757249665964,8.068983227249117,10.138801811502546,44750.8671875,9601.771484375
TJX,1547,27,0.028332102516520696,0.018978970125317574,0.03394617040144401,0.022704465207511362,16.53814795168912,0.02994708888492417,0.019299674779176712,0.0310936576804931,0.01953322774445868,3.687468381335668,10.112808166512394,53540.8671875,10582.8291015625
BA,1547,27,0.05443207020743884,0.030277710407972336,0.0627181253333971,0.034797095380298425,13.211579717842703,0.05076337692367617,0.031249769032001495,0.05458586426070396,0.03472033877550969,7.002705533380338,10.10714262561152,50009.80078125,10011.7431640625
LLY,1547,27,0.03715038073107262,0.025571279227733612,0.04217208365249737,0.029139222362554677,11.907647160154887,0.031626602070665255,0.02252548187971115,0.034379834053941884,0.023783995956654216,8.008275953155596,9.957961556655242,46908.05859375,10473.2041015625
SBUX,1547,27,0.03274507158049905,0.021762721240520477,0.036997842770345686,0.02456667403289568,11.494646366937078,0.031285273492778945,0.020897215232253075,0.03400506744947995,0.02226314186109701,7.99820191723396,9.74642414208552,50240.2734375,10405.39453125
UNH,1547,27,0.03440089171831986,0.022592969238758087,0.03878083164345217,0.02572281260198581,11.294084576115138,0.038292588591038394,0.023350583389401436,0.041530940568535485,0.024702643482550614,7.797444346710791,9.545764461412965,49894.50390625,10261.888671875
RTX,1547,27,0.031920020911207755,0.020602721720933914,0.03804881588468368,0.024230829035068166,16.10771539395799,0.034445627222766916,0.021488329395651817,0.03549016848530043,0.021584650547018913,2.9431848512247782,9.525450122591383,52443.65234375,10575.9208984375
HON,1547,27,0.02711721763242368,0.018499160185456276,0.030933480714944003,0.02101722156430667,12.336998599309524,0.02817913436009664,0.018615707755088806,0.03008425965955353,0.019440319663629968,6.332631485754037,9.33481504253178,45331.03125,10577.8564453125
CVS,1547,27,0.03406288249835654,0.02342298999428749,0.03764772706483042,0.025939663622595515,9.522074361357003,0.032230053698116885,0.021979661658406258,0.03536811169453585,0.02399500594905571,8.872563012471424,9.197318686914214,42233.04296875,10170.728515625
ABBV,1547,27,0.02833541824882892,0.019706472754478455,0.03159917024399594,0.022382134266916095,10.328600308063951,0.027364030410141918,0.018721457570791245,0.029477509864942505,0.018948388859004774,7.169803231290373,8.749201769677162,46396.8671875,10400.3681640625
V,1547,27,0.02543055164462754,0.017202405259013176,0.028492471983616586,0.020027738549168842,10.74641870578894,0.026254807391066337,0.018539944663643837,0.028146565320058197,0.01860398330570277,6.721096899321244,8.733757802555093,46050.12890625,10112.8408203125
ORCL,1547,27,0.0395296637943424,0.026017669588327408,0.04311642418893044,0.028214500797306696,8.318779820124544,0.03552205455849085,0.02471575327217579,0.03903848228424831,0.026051861752728136,9.007593328433039,8.663186574278791,46775.66015625,10449.439453125
PFE,1547,27,0.03025101785188709,0.02192200906574726,0.031288026070867954,0.02165497486782772,3.314393233475388,0.025131681863132034,0.01851990818977356,0.028988273104658627,0.021114267093089122,13.30397029034065,8.30918176190802,45526.6484375,10372.873046875
IBM,1547,27,0.02888589425003263,0.019952112808823586,0.03183164985201382,0.022341914944745495,9.254171919068233,0.02919293083947782,0.020043807104229927,0.03136006436278255,0.020439466730067725,6.910488123476666,8.08233002127245,41983.28125,9992.5556640625
CSCO,1547,27,0.026449179764537055,0.018905987963080406,0.02920608809177104,0.021264250938867975,9.439498773581933,0.027305379196746058,0.01928774267435074,0.029270134632828522,0.019144936472035804,6.7124919674228405,8.075995370502387,43635.89453125,9900.9150390625
LMT,1547,27,0.02798226657575917,0.018743829801678658,0.031039496813123405,0.02032740978928824,9.849483887482503,0.026586814403785023,0.018254917114973068,0.02820774666313452,0.01812148594746198,5.746408171865558,7.79794602967403,43706.54296875,10430.7412109375
TMUS,1547,27,0.02895256613759693,0.020457377657294273,0.03232575529828949,0.022411733188730517,10.434989467581135,0.024820301302429137,0.01852661371231079,0.026144608167707153,0.018507134768386137,5.065315405697113,7.750152436639124,49361.578125,10570.1123046875
