ticker,n_predictions,n_folds,up_cvae_rmse,up_cvae_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_cvae_rmse,dn_cvae_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct,mean_up_std,mean_dn_std
GS,1668,29,0.03190021651686498,0.022623592987656593,0.03951062079303233,0.02823305238085569,19.261667175600127,0.031230353162252197,0.022406306117773056,0.03401269467275035,0.02342575648609788,8.180303081741002,13.720985128670565,0.018785890191793442,0.018102172762155533
DE,1668,29,0.031502942400435184,0.022835031151771545,0.038782996812734456,0.027899487305454142,18.77125289582794,0.03268349269797979,0.023212088271975517,0.03578024187963187,0.024506066984729284,8.654914050245498,13.713083473036718,0.01965363882482052,0.01870960369706154
SPGI,1668,29,0.026554515108287977,0.018939321860671043,0.03200697845231436,0.022600939811093512,17.03523296380426,0.027863121235745116,0.01905699446797371,0.03105751701463901,0.020361522458848976,10.285419073869328,13.660326018836793,0.017827603965997696,0.017093369737267494
COP,1668,29,0.04007428207758719,0.028750870376825333,0.048312581136255583,0.03375062759482444,17.052078081760914,0.03993712072302409,0.027621041983366013,0.0444497982811017,0.030153459487958983,10.152301545980746,13.60218981387083,0.023999160155653954,0.02401711419224739
TXN,1668,29,0.030013197366860048,0.022420955821871758,0.03604454968218843,0.026423688858791157,16.733049430518488,0.029666130278607702,0.021788891404867172,0.033095757732932815,0.02392060545207151,10.362740391081516,13.547894910800002,0.0230525191873312,0.022195743396878242
PANW,1668,29,0.04093333629462028,0.028906233608722687,0.049455100915815335,0.03475650948049718,17.231315806434566,0.04164820019103925,0.028821483254432678,0.04620094006451429,0.030711182382599206,9.854214799780403,13.542765303107483,0.02180800959467888,0.0212656632065773
ADI,1668,29,0.03361828962592097,0.02497008442878723,0.04045956531890673,0.028907208308901186,16.908920397592198,0.031776738709104094,0.023356234654784203,0.035364091623516614,0.025697473246834593,10.14405502791702,13.526487712754609,0.02346118912100792,0.022796837612986565
LULU,1668,29,0.041248468116380554,0.029508663341403008,0.048976550218374444,0.03419390916112841,15.779147505359736,0.041115913510721955,0.028485693037509918,0.04633979745138006,0.03214704913839789,11.272996922653855,13.526072214006795,0.021192321553826332,0.020471513271331787
ETSY,1668,29,0.06418585995451895,0.04573291540145874,0.07530357281155188,0.05290656941687514,14.763858396008844,0.05891115526119078,0.04230159893631935,0.06709995004691523,0.0484008434933006,12.203876128073077,13.48386726204096,0.027225514873862267,0.027381112799048424
MS,1668,29,0.033225821353257856,0.023666249588131905,0.04097180655664686,0.029482773230684527,18.905647210550867,0.03344790604249747,0.02381485514342785,0.036355344437924736,0.024741654960391046,7.997279190660944,13.451463200605906,0.019358480349183083,0.018894869834184647
VRTX,1668,29,0.028920103310470405,0.02105109952390194,0.0355037089073338,0.025843875369240214,18.54343053016485,0.031387221540638575,0.020814798772335052,0.03415063832779358,0.02214967596727366,8.091845196656223,13.317637863410537,0.01954437978565693,0.018261751160025597
NFLX,1668,29,0.04452934010074113,0.030872240662574768,0.05322611798543592,0.036041015035687025,16.339305239345947,0.04351491368284256,0.028574839234352112,0.0483857129877637,0.03159864388288466,10.066606450860649,13.202955845103297,0.022866640239953995,0.022895323112607002
MA,1668,29,0.02672626779119758,0.018576018512248993,0.032806515411117995,0.0229089672559194,18.533658767855133,0.029722945133266263,0.020989129319787025,0.03225496757401703,0.021353439298609132,7.850023209418556,13.191840988636844,0.018110712990164757,0.017445513978600502
XOM,1668,29,0.031311167145984406,0.023564251139760017,0.03764951630928186,0.02697258778740691,16.835141018092813,0.03127923730230599,0.022577999159693718,0.03453291554163048,0.024175179350572926,9.421962172299313,13.128551595196063,0.02305963821709156,0.022706888616085052
META,1668,29,0.04241851558652499,0.029255805537104607,0.05065146505576433,0.03515996310879033,16.254119126021994,0.04111796197274193,0.02782299369573593,0.04561798563100792,0.03025830691032836,9.864582129218757,13.059350627620375,0.022097047418355942,0.02161766029894352
SLB,1668,29,0.04554221987041116,0.032981544733047485,0.054100433079874756,0.037732495082152435,15.819121441834138,0.045751758318540274,0.032380230724811554,0.050886566812602924,0.03567825011783188,10.090695473664624,12.954908457749381,0.02500366047024727,0.024850863963365555
SCHW,1668,29,0.03490137055101701,0.025356782600283623,0.041965011660251905,0.0298162123469696,16.832215290256624,0.03707863607458286,0.024890519678592682,0.04075648619060574,0.027072100265229573,9.02396271067798,12.928089000467303,0.0204938817769289,0.01995784044265747
CAT,1668,29,0.03336404973694734,0.025264117866754532,0.040125933796849755,0.029062063074036224,16.851655326294935,0.0315981798784121,0.02342999167740345,0.034654640987380234,0.024968407380103984,8.819774269429514,12.835714797862224,0.020143458619713783,0.01911730132997036
